Title:,Trial-cth-gapdh
Date/Time:,9/15/2022 1:49:58 PM,9/15/2022 4:03:57 PM
Device:,qTOWER³84 /G,3107G-0413
Operator:,ac
Comments:,
Colors+Dyes:,Pos,Color Module,Dye,Gain,Meas,Refr
,1,Blue.470.520.11.3,FAM,5,*,
,2,Green.515.545.11.2,JOE,5,,
,3,Yellow.535.580.11.2,TAMRA,5,,
,4,Orange.565.605.11.2,ROX,5,,
,5,Red.630.670.11.1,Cy5,5,,
Heated Lid:,100°C
TC Protocol:,steps,scan,°C,m:s,goto,loops,delta Temp(°C),delta Time (s),ramp (°C/s
,1,,50,02:00,0,0,0,0,4
,2,,95,02:00,0,0,0,0,4
,3,,95,00:15,0,0,0,0,4
,4,,60,00:15,0,0,0,0,2
,5,*,72,01:00,3,39,0,0,2
,6,*,60,00:15,6,35,1,0,2
Melt active:,Yes
Meas. Repeats:,3
Color Comp.:,

Well,,Sample name,Sample type,GOI,Reference gene,Ct GOI,Ct Ref. gene,Mean Ct GOI,Mean Ct Ref.gene,RQ GOI,RQ Ref.gene,Norm. Expression,Std.Dev. RQ GOI,Std.Dev. RQ Ref.gene,Std.Dev. Norm. Expression,dCt (Ref.Gen – GOI)
J21,,L2,Unknown,,,,,,,,,,,,,
J22,,siG2,Unknown,,,,,,,,,,,,,
J23,,siG2,Unknown,,,,,,,,,,,,,
J24,,siG2,Unknown,,,,,,,,,,,,,
K1,,L3,Unknown,,GAPDH,,16.21,,15.82,,0,10.4613,,0,,
K2,,L3,Unknown,,GAPDH,,15.51,,15.82,,0,10.4613,,0,,
K3,,L3,Unknown,,GAPDH,,15.74,,15.82,,0,10.4613,,0,,
K4,,siG3,Unknown,,GAPDH,,17.98,,17.61,,0,0.24,,0,,
K5,,siG3,Unknown,,GAPDH,,17.93,,17.61,,0,0.24,,0,,
K6,,siG3,Unknown,,GAPDH,,16.94,,17.61,,0,0.24,,0,,
K7,,ctl3,Unknown,,GAPDH,,17.54,,17.4,,0,0.092,,0,,
K8,,ctl3,Unknown,,GAPDH,,17.18,,17.4,,0,0.092,,0,,
K9,,ctl3,Unknown,,GAPDH,,17.46,,17.4,,0,0.092,,0,,
K10,,L3,Unknown,TNF,,12.3,,12.43,,0,,10.4613,0,,2.7762,3.39
K11,,L3,Unknown,TNF,,12.57,,12.43,,0,,10.4613,0,,2.7762,3.39
K12,,L3,Unknown,TNF,,12.43,,12.43,,0,,10.4613,0,,2.7762,3.39
K13,,siG3,Unknown,TNF,,19.53,,19.67,,0,,0.24,0,,0.0998,-2.06
K14,,siG3,Unknown,TNF,,19.77,,19.67,,0,,0.24,0,,0.0998,-2.06
K15,,siG3,Unknown,TNF,,19.72,,19.67,,0,,0.24,0,,0.0998,-2.06
K16,,ctl3,Unknown,TNF,,21.33,,20.84,,0,,0.092,0,,0.0394,-3.44
K17,,ctl3,Unknown,TNF,,21,,20.84,,0,,0.092,0,,0.0394,-3.44
K18,,ctl3,Unknown,TNF,,20.19,,20.84,,0,,0.092,0,,0.0394,-3.44
K19,,L3,Unknown,,,,,,,,,,,,,
K20,,L3,Unknown,,,,,,,,,,,,,
K21,,L3,Unknown,,,,,,,,,,,,,
K22,,siG3,Unknown,,,,,,,,,,,,,
K23,,siG3,Unknown,,,,,,,,,,,,,
K24,,siG3,Unknown,,,,,,,,,,,,,
L1,,L3,Unknown,,,,,,,,,,,,,
L2,,L3,Unknown,,,,,,,,,,,,,
L3,,L3,Unknown,,,,,,,,,,,,,
L4,,siG3,Unknown,,,,,,,,,,,,,
L5,,siG3,Unknown,,,,,,,,,,,,,
L6,,siG3,Unknown,,,,,,,,,,,,,
L7,,ctl3,Unknown,,,,,,,,,,,,,
L8,,ctl3,Unknown,,,,,,,,,,,,,
L9,,ctl3,Unknown,,,,,,,,,,,,,
L10,,L3,Unknown,,,,,,,,,,,,,
L11,,L3,Unknown,,,,,,,,,,,,,
