Title:,Trial-cth-gapdh
Date/Time:,9/15/2022 1:49:58 PM,9/15/2022 4:03:57 PM
Device:,qTOWER³84 /G,3107G-0413
Operator:,ac
Comments:,
Colors+Dyes:,Pos,Color Module,Dye,Gain,Meas,Refr
,1,Blue.470.520.11.3,FAM,5,*,
,2,Green.515.545.11.2,JOE,5,,
,3,Yellow.535.580.11.2,TAMRA,5,,
,4,Orange.565.605.11.2,ROX,5,,
,5,Red.630.670.11.1,Cy5,5,,
Heated Lid:,100°C
TC Protocol:,steps,scan,°C,m:s,goto,loops,delta Temp(°C),delta Time (s),ramp (°C/s
,1,,50,02:00,0,0,0,0,4
,2,,95,02:00,0,0,0,0,4
,3,,95,00:15,0,0,0,0,4
,4,,60,00:15,0,0,0,0,2
,5,*,72,01:00,3,39,0,0,2
,6,*,60,00:15,6,35,1,0,2
Melt active:,Yes
Meas. Repeats:,3
Color Comp.:,

Well,,Sample name,Sample type,GOI,Reference gene,Ct GOI,Ct Ref. gene,Mean Ct GOI,Mean Ct Ref.gene,RQ GOI,RQ Ref.gene,Norm. Expression,Std.Dev. RQ GOI,Std.Dev. RQ Ref.gene,Std.Dev. Norm. Expression,dCt (Ref.Gen – GOI)
K14,,siG3,Unknown,,,,,,,,,,,,,
K15,,siG3,Unknown,,,,,,,,,,,,,
K16,,ctl3,Unknown,,,,,,,,,,,,,
K17,,ctl3,Unknown,,,,,,,,,,,,,
K18,,ctl3,Unknown,,,,,,,,,,,,,
K19,,L3,Unknown,,,,,,,,,,,,,
K20,,L3,Unknown,,,,,,,,,,,,,
K21,,L3,Unknown,,,,,,,,,,,,,
K22,,siG3,Unknown,,,,,,,,,,,,,
K23,,siG3,Unknown,,,,,,,,,,,,,
K24,,siG3,Unknown,,,,,,,,,,,,,
L1,,L3,Unknown,,,,,,,,,,,,,
L2,,L3,Unknown,,,,,,,,,,,,,
L3,,L3,Unknown,,,,,,,,,,,,,
L4,,siG3,Unknown,,,,,,,,,,,,,
L5,,siG3,Unknown,,,,,,,,,,,,,
L6,,siG3,Unknown,,,,,,,,,,,,,
L7,,ctl3,Unknown,,,,,,,,,,,,,
L8,,ctl3,Unknown,,,,,,,,,,,,,
L9,,ctl3,Unknown,,,,,,,,,,,,,
L10,,L3,Unknown,IL-10,,25.19,,25.22,,0,,0.0015,0,,0.0004,-9.39
L11,,L3,Unknown,IL-10,,25.19,,25.22,,0,,0.0015,0,,0.0004,-9.39
L12,,L3,Unknown,IL-10,,25.27,,25.22,,0,,0.0015,0,,0.0004,-9.39
L13,,siG3,Unknown,IL-10,,27.48,,27.98,,0,,0.0008,0,,0.0004,-10.37
L14,,siG3,Unknown,IL-10,,28.41,,27.98,,0,,0.0008,0,,0.0004,-10.37
L15,,siG3,Unknown,IL-10,,28.05,,27.98,,0,,0.0008,0,,0.0004,-10.37
L16,,ctl3,Unknown,IL-10,,32.54,,33.27,,0,,0,0,,0,-15.88
L17,,ctl3,Unknown,IL-10,,34.6,,33.27,,0,,0,0,,0,-15.88
L18,,ctl3,Unknown,IL-10,,32.68,,33.27,,0,,0,0,,0,-15.88
L19,,L3,Unknown,,,,,,,,,,,,,
L20,,L3,Unknown,,,,,,,,,,,,,
